[header]
width=20
height=20
tilewidth=32
tileheight=32

[tilesets]
tileset=tilea1.png,32,32,0,0
tileset=tilea4.png,32,32,0,0
tileset=tiles-2.png,32,32,0,0

[layer]
type=Tile Layer 1
data=
460,460,566,566,566,566,880,709,710,880,206,206,206,206,206,206,206,206,206,254,
622,460,433,433,433,433,880,712,713,880,206,469,206,507,206,462,206,493,206,254,
460,460,529,529,529,529,460,460,460,670,206,460,460,461,462,547,513,495,206,254,
462,460,460,460,460,460,460,462,461,875,206,460,556,462,567,494,742,495,206,254,
671,671,671,671,671,671,671,671,461,461,206,206,513,493,547,513,495,206,206,875,
298,298,298,671,298,282,282,282,282,461,206,206,209,209,209,763,209,206,206,206,
298,671,298,298,298,671,671,671,282,462,606,606,862,493,493,493,883,606,331,332,
298,671,671,671,671,206,608,671,282,298,298,298,433,433,433,433,433,331,282,282,
298,298,298,298,671,606,206,671,671,461,461,282,433,716,433,875,433,347,298,348,
670,670,671,298,671,433,670,671,671,671,461,282,433,433,433,433,433,716,298,758,
433,670,671,298,671,671,671,671,671,671,461,282,462,493,493,586,494,494,625,495,
206,670,671,298,671,671,282,282,282,282,282,282,282,282,282,282,671,671,298,779,
433,670,671,298,671,671,282,671,671,671,671,282,671,671,671,298,671,671,298,253,
670,670,671,298,671,671,282,671,606,670,671,282,671,608,608,298,270,433,298,253,
672,672,491,298,608,671,282,671,608,206,671,282,671,606,206,298,298,298,298,608,
674,818,674,298,492,671,282,671,671,671,671,282,671,608,433,205,206,238,226,881,
298,298,298,298,674,671,282,282,282,282,282,282,671,758,226,226,226,226,226,876,
674,674,700,674,812,671,671,671,671,671,671,671,671,608,226,881,881,877,779,608,
812,700,700,770,860,813,815,253,671,694,697,270,694,270,226,608,608,879,608,608,
700,698,698,698,809,490,525,525,270,270,697,226,226,226,226,779,426,426,426,426

